iter	MultiClass
246	0.2430080381
247	0.2426093539
248	0.2421897873
249	0.2416342883
250	0.2411108405
251	0.2403818394
252	0.2399302988
253	0.2389604091
254	0.2385452318
255	0.2377352952
256	0.2372837748
257	0.23667215
258	0.2361299168
259	0.235617177
260	0.2347296208
261	0.2343333428
262	0.2339909366
263	0.2333463007
264	0.2328164012
265	0.2319587441
266	0.2308536067
267	0.2303411458
268	0.2298119451
269	0.2291134221
270	0.2283605324
271	0.2280596669
272	0.2272809759
273	0.2265072595
274	0.225836515
275	0.2252471054
276	0.2245080298
277	0.2241880515
278	0.2238499839
279	0.2233304581
280	0.2225972266
281	0.2220862434
282	0.2216234268
283	0.221055504
284	0.2201589977
285	0.2196577704
286	0.2193833978
287	0.2188458503
288	0.2186520467
289	0.2180408815
290	0.2176046655
291	0.216900347
292	0.2163874935
293	0.2160272895
294	0.215677926
295	0.2151349685
296	0.2147940547
297	0.214439094
298	0.2138181241
299	0.2131096485
300	0.2125439225
301	0.2120015129
302	0.2112717464
303	0.2105222787
304	0.2102111732
305	0.2098535967
306	0.2091345348
307	0.2082371973
308	0.2077143973
309	0.207254956
310	0.2066971284
311	0.2061856105
312	0.2058458505
313	0.2053614021
314	0.2048681156
315	0.2045113125
316	0.2038455808
317	0.2035150118
318	0.2030005846
319	0.2025243665
320	0.2019236332
321	0.2014808995
322	0.2010172696
323	0.2003824803
324	0.1997407095
325	0.1993427712
326	0.1988002797
327	0.198297108
328	0.1978456382
329	0.197371374
330	0.1968369897
331	0.1963545214
332	0.1960161418
333	0.1954457868
334	0.1951347866
335	0.1946997108
336	0.1944554539
337	0.1940596605
338	0.1933308763
339	0.1928755547
340	0.1922438259
341	0.1917373095
342	0.1912921143
343	0.1904439023
344	0.1901105387
345	0.1896718338
346	0.1892918805
347	0.1889883094
348	0.188722682
349	0.1877037151
350	0.1875160965
351	0.1869198815
352	0.1865459166
353	0.1863385936
354	0.1859597045
355	0.1856872398
356	0.185266804
357	0.1849496567
358	0.1846490869
359	0.1842165312
360	0.1832872775
361	0.1829168077
362	0.182678198
363	0.1821673385
364	0.1817734699
365	0.1814359071
366	0.1811106404
367	0.1806611287
368	0.1802288213
369	0.1800424459
370	0.179820101
371	0.1794813887
372	0.1791146011
373	0.1785885022
374	0.1780620018
375	0.1772133393
376	0.1770284799
377	0.1766103922
378	0.1763048106
379	0.1757149188
380	0.1755158459
381	0.1752078563
382	0.1748637817
383	0.1745757676
384	0.1741585332
385	0.173821219
386	0.1732729683
387	0.1729135171
388	0.1724826241
389	0.1720429601
390	0.1714705693
391	0.1710741524
392	0.1707262899
393	0.1703168531
394	0.1696340091
395	0.1689602337
396	0.1687312908
397	0.1681429546
398	0.1677604693
399	0.1672931094
400	0.1670966264
401	0.1666863151
402	0.166321994
403	0.1660955591
404	0.1658366867
405	0.1654923421
406	0.1651348147
407	0.1644067446
408	0.1640778719
409	0.1638026198
410	0.1634144807
411	0.1631506499
412	0.1629488506
413	0.1626904382
414	0.1623648412
415	0.1621579486
416	0.1618410408
417	0.1612728507
418	0.1609859154
419	0.1606423442
420	0.1603299005
421	0.1600105957
422	0.1597684276
423	0.1595083874
424	0.1592419204
425	0.1588923478
426	0.1585719283
427	0.1583229513
428	0.1579568362
429	0.1577519559
430	0.1575922857
431	0.1572673405
432	0.1570688722
433	0.1564155254
434	0.1559418251
435	0.1558058323
436	0.1554619937
437	0.1552457414
438	0.1549731874
439	0.154759493
440	0.1544434823
441	0.1540949359
442	0.1537766475
443	0.1533634075
444	0.1529427976
445	0.1528428629
446	0.152491354
447	0.152152242
448	0.1516385505
449	0.151256651
450	0.1508116715
451	0.150639196
452	0.1501515765
453	0.1496263788
454	0.1493646657
455	0.1490477916
456	0.1485392923
457	0.1483284289
458	0.1480875856
459	0.1478147426
460	0.1475031297
461	0.1471764921
462	0.1467500345
463	0.1464218478
464	0.1462343877
465	0.1459730567
466	0.1458383177
467	0.1455226648
468	0.1453946644
469	0.1450773499
470	0.1446294389
471	0.1444097647
472	0.1439720296
473	0.1438241893
474	0.1435284062
475	0.1431794574
476	0.1428708038
477	0.1425486135
478	0.1423044961
479	0.1417576397
480	0.1415614493
481	0.1414072828
482	0.1412175317
483	0.1410605354
484	0.1408339483
485	0.1403295408
486	0.1400875895
487	0.1398120466
488	0.1395393484
489	0.1392573195
490	0.1390333067
491	0.1386258054
492	0.1382415551
493	0.1380745928
494	0.1377329574
495	0.1374684409
496	0.1371310698
497	0.1369469106
498	0.136637603
499	0.1363541488
500	0.1361044978
501	0.1360174221
502	0.1358803128
503	0.1351306721
504	0.1346967287
505	0.1343038059
506	0.1341282186
507	0.1338460824
508	0.1333651182
509	0.1329805243
510	0.1327871491
511	0.1326356868
512	0.1323515364
513	0.1322355865
514	0.1317188496
515	0.1314538704
516	0.1312607759
517	0.1309932012
518	0.1308121014
519	0.1304022292
520	0.1302350988
521	0.1300598929
522	0.1299056992
523	0.1297273982
524	0.129544705
525	0.1293144109
526	0.1288907792
527	0.1286725468
528	0.1284244319
529	0.1282140059
530	0.1280277548
531	0.1278079822
532	0.1275330356
533	0.1273425245
534	0.1270359037
535	0.1268424213
536	0.1265148277
537	0.1263713952
538	0.1262112771
539	0.1260320849
540	0.1258894806
541	0.1257086676
542	0.1253876476
543	0.1251764773
544	0.125073802
545	0.1247638162
546	0.1246178508
547	0.1244363237
548	0.1241332263
549	0.123981745
550	0.1237995542
551	0.1234490359
552	0.1231397454
553	0.1229820623
554	0.1228311308
555	0.1225019744
556	0.1222913109
557	0.1220613582
558	0.1219890247
559	0.1217050842
560	0.1215245522
561	0.1212315866
562	0.1209964935
563	0.1207474744
564	0.1204731843
565	0.1203501682
566	0.1200230888
567	0.1199080505
568	0.1196953359
569	0.1194832113
570	0.1193847309
571	0.1190749982
572	0.1188964949
573	0.1187551631
574	0.1185401139
575	0.1182354984
576	0.1179587986
577	0.1177193339
578	0.1173841363
579	0.1172557279
580	0.1170089234
581	0.1166058996
582	0.116258161
583	0.1161186683
584	0.1159579423
585	0.11557935
586	0.1152806805
587	0.1151641191
588	0.1150117287
589	0.1147140712
590	0.1144653771
591	0.1141923767
592	0.1138044212
593	0.1135078594
594	0.1132671049
595	0.1131336814
596	0.1129643687
597	0.1128166657
598	0.1126676257
599	0.1125252016
600	0.1122786044
601	0.1120264509
602	0.1119189301
603	0.11176049
604	0.1116097718
605	0.1113757939
606	0.1112915362
607	0.1109930614
608	0.1108553732
609	0.1106558408
610	0.1104579146
611	0.110165428
612	0.1099227347
613	0.1097528038
614	0.1095491134
615	0.1094470043
616	0.1091905601
617	0.1090108336
618	0.1087673874
619	0.1085864137
620	0.108397982
621	0.1082807587
622	0.108146029
623	0.1079378364
624	0.1077728194
625	0.1074887354
626	0.1073228566
627	0.1071625434
628	0.1069132977
629	0.1066511517
630	0.106506386
631	0.1063841305
632	0.1062723404
633	0.1061717217
634	0.1059934491
635	0.1058464635
636	0.1056651079
637	0.105586235
638	0.1053964274
639	0.1053126431
640	0.105251012
641	0.1049556627
642	0.1048090203
643	0.1045643486
644	0.1044038483
645	0.1041728522
646	0.1040163161
647	0.1039087767
648	0.1037029099
649	0.1035902454
650	0.1033384782
651	0.1031802022
652	0.1030268742
653	0.1028864641
654	0.1024974199
655	0.1022747326
656	0.102015538
657	0.1018716454
658	0.1016823263
659	0.1015000683
660	0.1013269734
661	0.1011531029
662	0.1009453135
663	0.1008517468
664	0.1007456061
665	0.1005173462
666	0.1003848025
667	0.1001220967
668	0.09980183113
669	0.09966862499
670	0.09944777604
671	0.09921268483
672	0.09905159765
673	0.09878107601
674	0.09863740241
675	0.09849533581
676	0.09825834716
677	0.09811883854
678	0.09803280595
679	0.09787628585
680	0.09755866259
681	0.09734149414
682	0.09724356884
683	0.09702407037
684	0.09692742295
685	0.09670624874
686	0.09655257847
687	0.09639623276
688	0.09617081086
689	0.09591950532
690	0.09572704357
691	0.09558332874
692	0.09534015623
693	0.09521906973
694	0.09504148901
695	0.09483906744
696	0.09474611343
697	0.09466611886
698	0.09445577306
699	0.09428794101
700	0.09419654921
701	0.093967366
702	0.09378475948
703	0.09362823026
704	0.09342720223
705	0.09328640317
706	0.09311154652
707	0.09286405536
708	0.09269496004
709	0.09258015708
710	0.09237763547
711	0.09217134805
712	0.09197857034
713	0.09175514909
714	0.09161090808
715	0.09147708312
716	0.09130946137
717	0.09116966717
718	0.09106298239
719	0.09082206596
720	0.09067141488
721	0.090536477
722	0.09027725254
723	0.0900413952
724	0.0899110964
725	0.08978198308
726	0.08966251391
727	0.08952433752
728	0.08930597606
729	0.08917888385
730	0.08909696429
731	0.08897236344
732	0.08889387329
733	0.08874219526
734	0.08858156333
735	0.08841317328
736	0.08825415617
737	0.0881722113
738	0.08804273816
739	0.08786049409
740	0.08770379298
741	0.08762118194
742	0.08741402506
743	0.0872644303
744	0.08723295824
745	0.08715456418
746	0.08704898635
747	0.08692817792
748	0.0867232648
749	0.08642470334
750	0.08622476477
751	0.08608893933
752	0.0860039238
753	0.0859326289
754	0.08574313088
755	0.0856211167
756	0.08552210889
757	0.08532498428
758	0.08516561629
759	0.08510748633
760	0.0849817948
761	0.0848477934
762	0.0847511585
763	0.08451878249
764	0.08433014204
765	0.08416984868
766	0.08395974956
767	0.08378217165
768	0.08373794808
769	0.08354990844
770	0.08340177011
771	0.08327573221
772	0.08312375492
773	0.08305533554
774	0.08292535782
775	0.08273031411
776	0.08258223764
777	0.08238660487
778	0.08227990031
779	0.08207642567
780	0.08196776119
781	0.08186480848
782	0.08168980387
783	0.08153000866
784	0.08147165537
785	0.08131332677
786	0.08120640701
787	0.0810307254
788	0.0808933059
789	0.08070728253
790	0.08052779671
791	0.08042371286
792	0.0803353831
793	0.08012798541
794	0.0800611329
795	0.07997481531
796	0.07987457433
797	0.07970785956
798	0.07959987556
799	0.07946614115
800	0.07930630836
801	0.07913526883
802	0.07899360254
803	0.07880720445
804	0.07872080564
805	0.0785827495
806	0.07835488283
807	0.07823794272
808	0.07810631408
809	0.07785312423
810	0.0777072518
811	0.07751213454
812	0.07731107607
813	0.07711460237
814	0.07691598762
815	0.07680965199
816	0.07657567279
817	0.0763538549
818	0.07621921268
819	0.07611428285
820	0.07598352175
821	0.07584858861
822	0.07574271522
823	0.07552006874
824	0.07541250295
825	0.07524751792
826	0.07510880102
827	0.07494493889
828	0.07481948107
829	0.07471815856
830	0.07459309028
831	0.07451297214
832	0.07446249473
833	0.07437495668
834	0.07427609417
835	0.07419167966
836	0.07393382801
837	0.07385175519
838	0.07372132165
839	0.07360063508
840	0.0733470049
841	0.07326608823
842	0.07318575683
843	0.07309814675
844	0.07297666976
845	0.07290769708
846	0.07276664963
847	0.07268434022
848	0.07258865747
849	0.07247528941
850	0.07235874994
851	0.07224038308
852	0.07209594158
853	0.07199309352
854	0.0718427805
855	0.07175656617
856	0.07169294177
857	0.07161662478
858	0.07157454927
859	0.07147928922
860	0.07140168695
861	0.07127450209
862	0.07113148974
863	0.07105203205
864	0.07088091428
865	0.07078719265
866	0.07068722006
867	0.07063123754
868	0.07045424857
869	0.07029692344
870	0.07015369973
871	0.0700374433
872	0.06996389791
873	0.06981239916
874	0.06964997201
875	0.06961350431
876	0.06948240652
877	0.06940989076
878	0.06920329278
879	0.06909993558
880	0.06896442631
881	0.06891971533
882	0.06881217262
883	0.06873376396
884	0.06860516607
885	0.06849898956
886	0.06844216685
887	0.06839079653
888	0.06831408276
889	0.06826959069
890	0.0681219959
891	0.06804328533
892	0.06800634956
893	0.06792622245
894	0.06782528348
895	0.06761979483
896	0.06749331077
897	0.06740892451
898	0.06731425119
899	0.06724584723
900	0.06718453254
901	0.06704913235
902	0.06693271443
903	0.06680295669
904	0.06675276761
905	0.0666185143
906	0.06647942342
907	0.06641474668
908	0.06629868469
909	0.06611788556
910	0.06602084225
911	0.06598444172
912	0.06586567518
913	0.06580867651
914	0.06572763575
915	0.065628218
916	0.06557905648
917	0.06550599945
918	0.06542754459
919	0.06537533231
920	0.06526479579
921	0.06521291873
922	0.06510998029
923	0.06502583055
924	0.0649151155
925	0.06484823633
926	0.06478169247
927	0.06470763704
928	0.06456219278
929	0.06448973508
930	0.06443433715
931	0.0643075622
932	0.06423255364
933	0.0640913912
934	0.0639697916
935	0.06384678659
936	0.06374297111
937	0.06364546958
938	0.06351822756
939	0.06339797351
940	0.06316453258
941	0.06307993157
942	0.06296801735
943	0.06286269564
944	0.06275171281
945	0.06269879837
946	0.06255624827
947	0.06247977376
948	0.06239396208
949	0.06230357846
950	0.06223868859
951	0.06213278934
952	0.0620197522
953	0.06183765596
954	0.06178215555
955	0.06167117661
956	0.06160265857
957	0.06153012091
958	0.06144775339
959	0.06134576534
960	0.06124213318
961	0.06115852646
962	0.06109431835
963	0.0609301132
964	0.0608120481
965	0.06069774209
966	0.06057627563
967	0.0605313735
968	0.06046876214
969	0.06037494661
970	0.06031725019
971	0.06015545721
972	0.06008981981
973	0.06003905495
974	0.05999043122
975	0.05987634113
976	0.05976197699
977	0.05968132877
978	0.05961392431
979	0.05952562569
980	0.05945542497
981	0.05938060048
982	0.05928245473
983	0.05923036119
984	0.05912604589
985	0.05907157162
986	0.05895595842
987	0.05889029686
988	0.05879269756
989	0.0587301141
990	0.0586731008
991	0.05853668304
992	0.05840131626
993	0.05827457454
994	0.05819427447
995	0.05811859219
996	0.05800910141
997	0.05793222032
998	0.0577956631
999	0.0577403425
