iter	Passed	Remaining
244	9667	29791
245	9708	29756
246	9746	29713
247	9785	29672
248	9824	29630
249	9860	29580
250	9900	29544
251	9941	29509
252	9982	29473
253	10020	29429
254	10059	29390
255	10099	29352
256	10140	29316
257	10179	29276
258	10218	29234
259	10257	29194
260	10296	29152
261	10335	29112
262	10375	29074
263	10412	29029
264	10450	28985
265	10487	28939
266	10524	28894
267	10564	28856
268	10605	28819
269	10642	28773
270	10678	28726
271	10716	28681
272	10759	28653
273	10806	28633
274	10846	28596
275	10884	28551
276	10920	28504
277	10957	28456
278	10994	28411
279	11036	28378
280	11080	28352
281	11121	28315
282	11160	28275
283	11197	28229
284	11234	28185
285	11273	28145
286	11311	28102
287	11349	28058
288	11385	28010
289	11424	27970
290	11465	27934
291	11503	27891
292	11540	27847
293	11579	27806
294	11618	27766
295	11656	27723
296	11693	27678
297	11733	27639
298	11771	27598
299	11809	27554
300	11847	27512
301	11885	27470
302	11924	27430
303	11964	27391
304	12000	27346
305	12037	27300
306	12075	27258
307	12112	27214
308	12156	27184
309	12194	27142
310	12231	27097
311	12268	27053
312	12306	27010
313	12343	26967
314	12385	26932
315	12421	26888
316	12460	26847
317	12496	26801
318	12533	26757
319	12570	26711
320	12608	26670
321	12644	26623
322	12681	26579
323	12717	26533
324	12755	26491
325	12791	26445
326	12830	26406
327	12868	26364
328	12905	26321
329	12941	26275
330	12980	26235
331	13017	26191
332	13055	26151
333	13093	26108
334	13131	26067
335	13167	26021
336	13204	25977
337	13241	25934
338	13282	25899
339	13319	25855
340	13356	25812
341	13394	25770
342	13431	25727
343	13470	25687
344	13509	25648
345	13547	25606
346	13584	25564
347	13624	25526
348	13664	25488
349	13702	25447
350	13739	25405
351	13779	25366
352	13816	25323
353	13853	25280
354	13889	25236
355	13927	25194
356	13966	25155
357	14002	25110
358	14038	25066
359	14075	25022
360	14112	24979
361	14150	24938
362	14189	24899
363	14227	24859
364	14263	24815
365	14300	24772
366	14339	24732
367	14377	24691
368	14415	24651
369	14451	24606
370	14489	24565
371	14525	24520
372	14561	24478
373	14600	24438
374	14638	24397
375	14675	24354
376	14712	24311
377	14749	24270
378	14785	24227
379	14824	24187
380	14862	24147
381	14900	24106
382	14937	24064
383	14975	24022
384	15012	23981
385	15051	23942
386	15089	23901
387	15126	23859
388	15163	23817
389	15200	23774
390	15239	23735
391	15276	23694
392	15314	23653
393	15351	23611
394	15390	23572
395	15429	23533
396	15467	23493
397	15505	23453
398	15543	23412
399	15580	23370
400	15616	23327
401	15656	23289
402	15693	23248
403	15729	23205
404	15768	23165
405	15805	23124
406	15841	23080
407	15881	23044
408	15918	23001
409	15954	22959
410	15991	22916
411	16027	22873
412	16064	22831
413	16103	22794
414	16142	22754
415	16179	22712
416	16215	22670
417	16252	22629
418	16288	22586
419	16326	22545
420	16368	22511
421	16409	22475
422	16448	22437
423	16490	22402
424	16531	22366
425	16573	22330
426	16611	22291
427	16648	22249
428	16685	22208
429	16723	22168
430	16767	22136
431	16810	22102
432	16850	22065
433	16891	22028
434	16929	21988
435	16967	21948
436	17005	21909
437	17043	21868
438	17079	21826
439	17117	21785
440	17155	21745
441	17194	21707
442	17232	21667
443	17269	21626
444	17307	21585
445	17344	21544
446	17382	21504
447	17420	21464
448	17457	21423
449	17494	21381
450	17532	21341
451	17569	21300
452	17605	21259
453	17646	21222
454	17684	21182
455	17720	21140
456	17758	21100
457	17794	21058
458	17830	21015
459	17869	20976
460	17906	20936
461	17944	20896
462	17980	20854
463	18017	20812
464	18054	20772
465	18095	20736
466	18136	20699
467	18172	20658
468	18208	20616
469	18246	20575
470	18283	20535
471	18321	20495
472	18360	20456
473	18399	20418
474	18437	20378
475	18474	20337
476	18511	20296
477	18551	20259
478	18588	20218
479	18624	20176
480	18662	20136
481	18700	20097
482	18739	20058
483	18778	20020
484	18817	19981
485	18856	19942
486	18892	19900
487	18929	19860
488	18969	19822
489	19006	19782
490	19044	19742
491	19082	19703
492	19120	19663
493	19158	19624
494	19196	19583
495	19232	19542
496	19268	19501
497	19305	19460
498	19343	19420
499	19382	19382
500	19420	19343
501	19456	19301
502	19493	19260
503	19530	19220
504	19567	19179
505	19606	19141
506	19643	19101
507	19680	19060
508	19718	19020
509	19755	18980
510	19793	18940
511	19833	18903
512	19869	18862
513	19906	18821
514	19943	18781
515	19980	18741
516	20018	18701
517	20056	18662
518	20095	18623
519	20135	18587
520	20172	18546
521	20209	18505
522	20246	18465
523	20285	18426
524	20323	18387
525	20361	18348
526	20397	18307
527	20434	18267
528	20471	18226
529	20510	18188
530	20549	18150
531	20586	18109
532	20623	18069
533	20659	18028
534	20695	17987
535	20736	17950
536	20773	17911
537	20810	17870
538	20847	17830
539	20885	17791
540	20925	17754
541	20965	17716
542	21003	17677
543	21042	17638
544	21079	17598
545	21116	17558
546	21162	17525
547	21205	17490
548	21254	17460
549	21315	17439
550	21365	17410
551	21415	17381
552	21457	17344
553	21499	17308
554	21540	17271
555	21580	17233
556	21620	17195
557	21660	17157
558	21696	17116
559	21733	17076
560	21770	17036
561	21809	16997
562	21848	16958
563	21885	16918
564	21922	16878
565	21961	16839
566	21999	16800
567	22038	16761
568	22076	16722
569	22113	16682
570	22150	16641
571	22187	16602
572	22224	16562
573	22264	16524
574	22301	16483
575	22338	16443
576	22376	16404
577	22417	16366
578	22462	16332
579	22505	16297
580	22548	16261
581	22589	16224
582	22630	16186
583	22668	16147
584	22708	16109
585	22748	16071
586	22786	16032
587	22823	15991
588	22859	15951
589	22899	15912
590	22937	15873
591	22974	15833
592	23012	15794
593	23051	15755
594	23092	15718
595	23131	15680
596	23171	15641
597	23208	15601
598	23244	15561
599	23282	15521
600	23319	15481
601	23358	15443
602	23395	15403
603	23432	15363
604	23471	15324
605	23511	15286
606	23550	15247
607	23588	15208
608	23625	15168
609	23662	15128
610	23699	15088
611	23737	15049
612	23776	15010
613	23812	14970
614	23850	14931
615	23889	14892
616	23926	14852
617	23965	14813
618	24003	14774
619	24041	14734
620	24077	14694
621	24114	14655
622	24154	14616
623	24193	14578
624	24229	14537
625	24267	14498
626	24305	14459
627	24343	14419
628	24385	14383
629	24423	14343
630	24459	14303
631	24496	14263
632	24533	14223
633	24570	14184
634	24608	14145
635	24647	14106
636	24684	14066
637	24720	14026
638	24757	13986
639	24794	13947
640	24833	13908
641	24874	13871
642	24913	13831
643	24952	13793
644	24991	13754
645	25030	13716
646	25069	13678
647	25106	13638
648	25145	13599
649	25182	13559
650	25219	13520
651	25258	13481
652	25295	13441
653	25331	13401
654	25370	13363
655	25408	13323
656	25447	13285
657	25487	13247
658	25527	13209
659	25564	13169
660	25601	13129
661	25638	13090
662	25675	13050
663	25714	13012
664	25752	12973
665	25790	12933
666	25828	12894
667	25865	12855
668	25902	12815
669	25944	12778
670	25984	12740
671	26022	12701
672	26059	12662
673	26098	12623
674	26139	12585
675	26178	12547
676	26217	12508
677	26255	12469
678	26292	12429
679	26329	12390
680	26369	12352
681	26407	12313
682	26447	12274
683	26486	12236
684	26523	12196
685	26560	12157
686	26600	12119
687	26636	12079
688	26674	12040
689	26711	12000
690	26749	11961
691	26785	11921
692	26823	11883
693	26864	11845
694	26903	11806
695	26943	11768
696	26980	11728
697	27016	11689
698	27055	11650
699	27092	11611
700	27129	11571
701	27165	11531
702	27201	11492
703	27240	11453
704	27278	11414
705	27317	11375
706	27355	11336
707	27395	11298
708	27433	11259
709	27471	11220
710	27511	11182
711	27548	11143
712	27587	11104
713	27623	11065
714	27661	11025
715	27699	10987
716	27737	10948
717	27776	10909
718	27815	10870
719	27857	10833
720	27896	10794
721	27936	10756
722	27978	10719
723	28017	10680
724	28055	10641
725	28091	10602
726	28132	10564
727	28171	10525
728	28209	10486
729	28246	10447
730	28283	10408
731	28320	10368
732	28362	10331
733	28400	10292
734	28439	10253
735	28477	10214
736	28514	10175
737	28551	10136
738	28592	10098
739	28628	10058
740	28665	10019
741	28702	9980
742	28739	9940
743	28776	9901
744	28816	9863
745	28857	9825
746	28896	9787
747	28934	9748
748	28974	9709
749	29012	9670
750	29050	9632
751	29089	9593
752	29128	9554
753	29165	9515
754	29202	9476
755	29241	9437
756	29278	9398
757	29316	9359
758	29357	9321
759	29394	9282
760	29432	9243
761	29468	9204
762	29507	9165
763	29545	9126
764	29582	9087
765	29619	9048
766	29655	9008
767	29694	8970
768	29732	8931
769	29772	8892
770	29810	8854
771	29846	8814
772	29883	8775
773	29920	8736
774	29960	8698
775	29996	8658
776	30034	8619
777	30072	8581
778	30110	8542
779	30149	8503
780	30191	8466
781	30229	8427
782	30267	8388
783	30306	8349
784	30343	8310
785	30383	8272
786	30421	8233
787	30459	8194
788	30495	8155
789	30533	8116
790	30574	8078
791	30613	8040
792	30652	8001
793	30691	7962
794	30728	7923
795	30764	7884
796	30804	7846
797	30842	7807
798	30879	7768
799	30918	7729
800	30958	7691
801	30997	7652
802	31039	7614
803	31078	7576
804	31115	7537
805	31154	7498
806	31191	7459
807	31229	7420
808	31268	7382
809	31305	7343
810	31343	7304
811	31381	7265
812	31418	7226
813	31456	7187
814	31495	7149
815	31536	7111
816	31573	7072
817	31611	7033
818	31648	6994
819	31686	6955
820	31725	6917
821	31763	6878
822	31799	6839
823	31835	6799
824	31873	6761
825	31911	6722
826	31948	6683
827	31987	6644
828	32025	6605
829	32063	6567
830	32100	6528
831	32139	6489
832	32179	6451
833	32216	6412
834	32256	6374
835	32294	6335
836	32332	6296
837	32375	6258
838	32414	6220
839	32454	6181
840	32493	6143
841	32530	6104
842	32570	6065
843	32612	6027
844	32653	5989
845	32690	5950
846	32727	5911
847	32764	5872
848	32805	5834
849	32845	5796
850	32884	5757
851	32923	5719
852	32963	5680
853	33002	5642
854	33042	5603
855	33080	5564
856	33117	5525
857	33154	5487
858	33190	5448
859	33228	5409
860	33268	5370
861	33307	5332
862	33347	5293
863	33385	5255
864	33424	5216
865	33461	5177
866	33500	5139
867	33538	5100
868	33576	5061
869	33613	5022
870	33649	4983
871	33686	4944
872	33723	4905
873	33763	4867
874	33802	4828
875	33840	4790
876	33878	4751
877	33914	4712
878	33953	4673
879	33991	4635
880	34028	4596
881	34066	4557
882	34104	4518
883	34143	4480
884	34182	4441
885	34219	4403
886	34257	4364
887	34295	4325
888	34334	4286
889	34372	4248
890	34413	4209
891	34451	4171
892	34489	4132
893	34526	4093
894	34564	4055
895	34601	4016
896	34642	3977
897	34680	3939
898	34717	3900
899	34753	3861
900	34790	3822
901	34829	3784
902	34870	3745
903	34908	3707
904	34945	3668
905	34981	3629
906	35019	3590
907	35056	3551
908	35095	3513
909	35134	3474
910	35173	3436
911	35212	3397
912	35248	3358
913	35286	3320
914	35327	3281
915	35366	3243
916	35404	3204
917	35442	3165
918	35479	3127
919	35515	3088
920	35554	3049
921	35592	3011
922	35629	2972
923	35666	2933
924	35703	2894
925	35743	2856
926	35782	2817
927	35823	2779
928	35861	2740
929	35897	2701
930	35933	2663
931	35970	2624
932	36009	2585
933	36046	2547
934	36085	2508
935	36123	2469
936	36160	2431
937	36197	2392
938	36240	2354
939	36277	2315
940	36316	2277
941	36354	2238
942	36392	2199
943	36429	2161
944	36469	2122
945	36507	2083
946	36543	2045
947	36580	2006
948	36617	1967
949	36658	1929
950	36701	1891
951	36739	1852
952	36779	1813
953	36817	1775
954	36854	1736
955	36891	1697
956	36929	1659
957	36968	1620
958	37005	1582
959	37042	1543
960	37079	1504
961	37120	1466
962	37159	1427
963	37199	1389
964	37237	1350
965	37275	1311
966	37313	1273
967	37354	1234
968	37392	1196
969	37428	1157
970	37465	1118
971	37504	1080
972	37543	1041
973	37584	1003
974	37621	964
975	37659	926
976	37697	887
977	37736	848
978	37772	810
979	37811	771
980	37848	733
981	37887	694
982	37925	655
983	37965	617
984	38002	578
985	38040	540
986	38078	501
987	38116	462
988	38154	424
989	38191	385
990	38228	347
991	38267	308
992	38307	270
993	38346	231
994	38385	192
995	38423	154
996	38461	115
997	38499	77
998	38537	38
999	38575	0
